Team,Tag,Topic,f1_macro
Captain Levi,levirank_voting_retrieval,34,0.268
Captain Levi,levirank_voting_retrieval,33,0.332
Captain Levi,levirank_voting_retrieval,30,0.09
Captain Levi,levirank_voting_retrieval,28,0.262
Captain Levi,levirank_voting_retrieval,27,0.216
Captain Levi,levirank_voting_retrieval,26,0.075
Captain Levi,levirank_voting_retrieval,25,0.275
Captain Levi,levirank_voting_retrieval,23,0.184
Captain Levi,levirank_voting_retrieval,22,0.221
Captain Levi,levirank_voting_retrieval,19,0.284
Captain Levi,levirank_voting_retrieval,18,0.258
Captain Levi,levirank_voting_retrieval,17,0.095
Captain Levi,levirank_voting_retrieval,14,0.262
Captain Levi,levirank_voting_retrieval,12,0.278
Captain Levi,levirank_voting_retrieval,9,0.289
Captain Levi,levirank_voting_retrieval,8,0.359
Captain Levi,levirank_voting_retrieval,3,0.21
Captain Levi,levirank_voting_retrieval,2,0.32
Captain Levi,levirank_baseline_large_duo_t5,100,0.144
Captain Levi,levirank_baseline_large_duo_t5,95,0.154
Captain Levi,levirank_baseline_large_duo_t5,93,0.222
Captain Levi,levirank_baseline_large_duo_t5,92,0.091
Captain Levi,levirank_baseline_large_duo_t5,91,0.19
Captain Levi,levirank_baseline_large_duo_t5,88,0.329
Captain Levi,levirank_baseline_large_duo_t5,86,0.353
Captain Levi,levirank_baseline_large_duo_t5,84,0.227
Captain Levi,levirank_baseline_large_duo_t5,78,0.217
Captain Levi,levirank_baseline_large_duo_t5,77,0.274
Captain Levi,levirank_baseline_large_duo_t5,76,0.262
Captain Levi,levirank_baseline_large_duo_t5,74,0.169
Captain Levi,levirank_baseline_large_duo_t5,72,0.357
Captain Levi,levirank_baseline_large_duo_t5,70,0.282
Captain Levi,levirank_baseline_large_duo_t5,69,0.285
Captain Levi,levirank_baseline_large_duo_t5,68,0.331
Captain Levi,levirank_baseline_large_duo_t5,67,0.364
Captain Levi,levirank_baseline_large_duo_t5,62,0.282
Captain Levi,levirank_baseline_large_duo_t5,61,0.197
Captain Levi,levirank_baseline_large_duo_t5,60,0.11
Captain Levi,levirank_baseline_large_duo_t5,59,0.101
Captain Levi,levirank_baseline_large_duo_t5,58,0.229
Captain Levi,levirank_baseline_large_duo_t5,56,0.213
Captain Levi,levirank_baseline_large_duo_t5,55,0.21
Captain Levi,levirank_baseline_large_duo_t5,54,0.195
Captain Levi,levirank_baseline_large_duo_t5,53,0.204
Captain Levi,levirank_baseline_large_duo_t5,51,0.404
Captain Levi,levirank_baseline_large_duo_t5,48,0.179
Captain Levi,levirank_baseline_large_duo_t5,43,0.134
Captain Levi,levirank_baseline_large_duo_t5,42,0.339
Captain Levi,levirank_baseline_large_duo_t5,37,0.286
Captain Levi,levirank_baseline_large_duo_t5,36,0.328
Captain Levi,levirank_baseline_large_duo_t5,34,0.347
Captain Levi,levirank_baseline_large_duo_t5,33,0.275
Captain Levi,levirank_baseline_large_duo_t5,30,0.137
Captain Levi,levirank_baseline_large_duo_t5,28,0.419
Captain Levi,levirank_baseline_large_duo_t5,27,0.276
Captain Levi,levirank_baseline_large_duo_t5,26,0.225
Captain Levi,levirank_baseline_large_duo_t5,25,0.464
Captain Levi,levirank_baseline_large_duo_t5,23,0.227
Captain Levi,levirank_baseline_large_duo_t5,22,0.275
Captain Levi,levirank_baseline_large_duo_t5,19,0.324
Captain Levi,levirank_baseline_large_duo_t5,18,0.22
Captain Levi,levirank_baseline_large_duo_t5,17,0.062
Captain Levi,levirank_baseline_large_duo_t5,14,0.219
Captain Levi,levirank_baseline_large_duo_t5,12,0.21
Captain Levi,levirank_baseline_large_duo_t5,9,0.325
Captain Levi,levirank_baseline_large_duo_t5,8,0.35
